,Family,Order,Clade,Clade_2,Clade_3_for_arcs,Genus,Species,Nectary,Structured,Source,URL,Placement,Developmental.stage,Hydathode,Aerophore,Notes,Herbarium,Leaf_area_ellipse_mm,Growth_habit_E1_T0,rhizome_form,Rhizome_form_dual_state,rhizome_diamter_mm,Stipe_diamter_mm,Root_diam_mm,internode.length_mm,HC_reduced_states_no_soldic,Growth_habit_E1_T0_Arb2_climb_3
268,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_acutula,NA,NA,,,,,NA,,,,212058,0,trunk,non-rhizomatous,NA,NA,,,Polycyclic,2
269,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_albidosquamata,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
270,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_alta,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
271,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_andersonii,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
272,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_andohahelensis,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
273,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_annae,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
274,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_apoensis,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
275,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_appendiculata,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
276,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_approximata,NA,NA,,,,,NA,,,,185550.75,0,NA,NA,NA,NA,,,Polycyclic,2
277,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_archboldii,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
278,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_auriculata,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
279,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_australis,NA,NA,,,,,NA,,,,290990.7,0,NA,NA,NA,NA,,,Polycyclic,2
280,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_austroyunnanensis,NA,NA,,,,,NA,,,,467313,0,trunk,non-rhizomatous,NA,NA,,,Polycyclic,2
281,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_baileyana,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
282,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_bellisquamata,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
283,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_biformis,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
284,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_boiviniiformis,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
285,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_borbonica,NA,NA,,,,,NA,,,,77754.6,0,NA,NA,NA,NA,,,Polycyclic,2
287,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_brevipinna,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
288,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_brooksii,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
289,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_brunoniana,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
290,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_bryophila,NA,NA,,,,,NA,,,,77715,0,trunk,non-rhizomatous,100,NA,,,Polycyclic,2
292,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_camerooniana,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
294,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_catillifera,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
295,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_celsa,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
296,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_coactilis,NA,NA,,,,,NA,,,,NA,0,trunk,non-rhizomatous,NA,NA,,,Polycyclic,2
298,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_conantiana,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
299,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_costalisora,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
300,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_costularis,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
301,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_crenulata,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
306,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_decrescens,NA,NA,,,,,NA,,,,NA,0,trunk,non-rhizomatous,110,NA,,,Polycyclic,2
307,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_dicksonioides,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
308,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_dimorpha,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
310,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_dryopteroides,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
311,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_edanoi,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
312,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_emilei,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
313,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_engelii,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
314,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_erinacea,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
315,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_esmeraldensis,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
316,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_everta,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
317,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_exilis,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
320,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_foersteri,NA,NA,,,,,NA,,,,256236.75,0,trunk,non-rhizomatous,NA,NA,,,Polycyclic,2
321,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_fulgens,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
322,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_geluensis,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
323,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_gigantea,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
325,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_glaucifolia,NA,NA,,,,,NA,,,,294525,0,NA,NA,NA,NA,,,Polycyclic,2
326,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_grangaudiana,NA,NA,,,,,NA,,,,30237.9,0,NA,NA,NA,NA,,,Polycyclic,2
328,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_hebes,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
329,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_hooglandii,NA,NA,,,,,NA,,,,129591,0,trunk,non-rhizomatous,100,NA,,,Polycyclic,2
330,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_hookeri,NA,NA,,,,,NA,,,,NA,0,trunk,non-rhizomatous,NA,NA,,,Polycyclic,2
331,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_hornei,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
332,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_humilis,NA,NA,,,,,NA,,,,117810,0,NA,NA,NA,NA,,,Polycyclic,2
333,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_hyacinthei,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
334,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_hymenodes,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
335,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_impolita,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
337,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_incana,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
339,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_katoi,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
340,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_kermadecensis,NA,NA,,,,,NA,,,,NA,0,trunk,non-rhizomatous,NA,NA,,,Polycyclic,2
341,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_khasyana,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
342,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_kirkii,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
343,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_klossii,NA,NA,,,,,NA,,,,135481.5,0,trunk,non-rhizomatous,15,NA,,,Polycyclic,2
344,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_lastii,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
347,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_ligulata,NA,NA,,,,,NA,,,,254469.6,0,NA,NA,NA,NA,,,Polycyclic,2
350,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_longipinnata,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
351,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_longispina,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
352,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_lurida,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
353,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_macgillivrayi,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
354,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_macgregorii,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
355,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_manniana,NA,NA,,,,,NA,,,,376992,0,trunk,non-rhizomatous,100,NA,,,Polycyclic,2
356,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_marattioides,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
357,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_marcescens,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
358,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_matitanensis,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
359,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_media,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
360,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_melleri,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
361,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_meridionalis,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
362,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_metteniana,NA,NA,,,,,NA,,,,123700.5,0,trunk,non-rhizomatous,80,NA,,,Polycyclic,2
363,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_micra,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
364,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_microphylloides,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
365,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_milnei,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
366,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_minor,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
367,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_mostellaria,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
368,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_muelleri,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
369,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_nigrolineata,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
370,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_nilgirensis,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
371,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_odonelliana,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
372,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_ogurae,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
373,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_olivacea,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
375,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_orientalis,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
376,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_pachyrrhachis,NA,NA,,,,,NA,,,,147262.5,0,erect trunk,non-rhizomatous,75,NA,,,Polycyclic,2
377,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_paucifolia,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
379,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_perpelvigera,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
380,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_perrieriana,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
381,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_phlebodes,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
382,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_physolepidota,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
385,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_poolii,NA,NA,,,,,NA,,,,140193.9,0,NA,NA,NA,NA,,,Polycyclic,2
386,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_portoricensis,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
387,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_pruinosa,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
388,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_pycnoneura,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
389,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_quadrata,NA,NA,,,,,NA,,,,NA,0,NA,NA,NA,NA,,,Polycyclic,2
391,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_rigens,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
393,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_roroka,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
394,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_rouhaniana,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
395,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_rubiginosa,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
